"Label","Ni.Vol.Corrected","Temp","hrs","Th.Density","R3","Tempk","z","zz","zzz","mkeydiam","mkeythick","stressf","condAve"
"WH01A",0.28,1100,5,102.2108794,NA,1373.15,0.00072825255798711,NA,NA,NA,NA,NA,2.338951849
"WH01B",0.28,1100,5,103.7130081,NA,1373.15,0.00072825255798711,NA,NA,NA,NA,NA,NA
"WH01C",0.28,1100,5,102.0730592,NA,1373.15,0.00072825255798711,NA,NA,NA,NA,NA,NA
"WH02A",0.24,1100,5,104.1562082,3.83910002025567,1373.15,0.00072825255798711,6.96066270659014,5.635903702997,NA,NA,NA,NA
"WH02B",0.24,1100,5,103.2742079,4.78648622252731,1373.15,0.00072825255798711,7.18122131418227,5.85646231058914,NA,NA,NA,3.564990715
"WH02C",0.24,1100,5,99.20877203,4.58750400151358,1373.15,0.00072825255798711,7.13876082282931,5.81400181923618,NA,NA,NA,1.878832957
"WH03A",0.35,1100,5,99.71774418,4.69949262515872,1373.15,0.00072825255798711,7.16287928797934,5.52796284736952,9.56,0.32,193.535477224048,99.87103871
"WH03B",0.35,1100,5,98.79853085,11.5501138607809,1373.15,0.00072825255798711,8.06212003217994,6.42720359157012,9.65,0.35,181.063147443316,19.99381631
"WH03C",0.35,1100,5,98.02451363,8.31008370675893,1373.15,0.00072825255798711,7.7328944190166,6.09797797840678,9.53,0.44,156.346463635791,8.360295405
"WH04A",0.28,1000,5,97.3877503,NA,1273.15,0.000785453402976868,NA,NA,NA,NA,NA,NA
"WH04B",0.28,1000,5,100.1986657,2.580993521649,1273.15,0.000785453402976868,6.48798592179228,5.03840106636947,NA,NA,NA,0.215847212
"WH04C",0.28,1000,5,99.09877849,NA,1273.15,0.000785453402976868,NA,NA,NA,NA,NA,NA
"WH05A",0.24,1000,5,100.2238119,2.52965754415034,1273.15,0.000785453402976868,6.4678954466092,5.14313644301606,NA,NA,NA,NA
"WH05B",0.24,1000,5,97.16088453,2.23308701906618,1273.15,0.000785453402976868,6.3431964527509,5.01843744915776,NA,NA,NA,0.206299489
"WH05C",0.24,1000,5,99.07943176,3.36908464538164,1273.15,0.000785453402976868,6.75445259996299,5.42969359636985,NA,NA,NA,NA
"WH06A",0.35,1000,5,94.42997954,6.18119197402675,1273.15,0.000785453402976868,7.36132264000235,5.72640619939254,9.61,0.42,169.884650601673,1.21416533
"WH06B",0.35,1000,5,95.24323357,5.15236541596367,1273.15,0.000785453402976868,7.17926742437327,5.54435098376346,9.61,0.3,186.63308279109,1.299496826
"WH06C",0.35,1000,5,93.61973839,8.95052597509134,1273.15,0.000785453402976868,7.73152380980145,6.09660736919164,9.58,0.32,256.069110893431,0.699371358
"WH07A",0,900,5,90.49685461,NA,1173.15,0.000852405915697055,NA,NA,10,0.74,62.8597485491566,0.03188314
"WH07B",0,900,5,89.02053712,NA,1173.15,0.000852405915697055,NA,NA,10.07,0.72,60.649945334283,0.025148174
"WH07C",0,900,5,90.90188,NA,1173.15,0.000852405915697055,NA,NA,NA,NA,NA,NA
"WH07D",0,900,5,87.7133,NA,1173.15,0.000852405915697055,NA,NA,NA,NA,NA,NA
"WH07E",0,900,5,91.24477,NA,1173.15,0.000852405915697055,NA,NA,NA,NA,NA,NA
"WH08A",0.05,900,5,94.15912642,0.158630835680474,1173.15,0.000852405915697055,3.61683424081715,3.38574824703489,9.92,0.6,85.0662861300151,0.152406509
"WH08B",0.05,900,5,93.65190559,0.232706952504893,1173.15,0.000852405915697055,4.00003447370715,3.7689484799249,10.01,0.78,51.4728652859405,0.104742683
"WH09A",0.1,900,5,95.13940451,0.356149584496961,1173.15,0.000852405915697055,4.42560535007137,3.75358886410573,9.76,0.5,83.4312136604126,0.097020823
"WH09B",0.1,900,5,94.27080596,0.275366132678243,1173.15,0.000852405915697055,4.16835613000746,3.49633964404182,NA,NA,NA,0.079892851
"WH09C",0.1,900,5,96.22556707,0.289045196523228,1173.15,0.000852405915697055,4.21683759153812,3.54482110557247,9.71,0.46,108.149035018555,0.081851696
"WH09D",0.1,900,5,95.90904846,0.243312175292484,1173.15,0.000852405915697055,4.04459981714057,3.37258333117493,9.78,0.47,149.332118010783,0.07023679
"WH09Y",0.1,900,5,NA,NA,1173.15,NA,NA,NA,9.94,0.43,79.7404856911045,NA
"WH09Z",0.1,900,5,NA,NA,1173.15,NA,NA,NA,9.95,0.47,94.5497104560826,NA
"WH10A",0.28,900,5,89.14227635,1.43989187778288,1173.15,0.000852405915697055,5.82257783117753,4.37299297575471,9.71,0.99,90.8638485636232,0.059090347
"WH10B",0.28,900,5,89.7807997,1.18272344262798,1173.15,0.000852405915697055,5.62582958664023,4.17624473121742,9.68,1.06,142.841246740706,0.05319202
"WH10C",0.28,900,5,89.46153802,0.700265177700286,1173.15,0.000852405915697055,5.10171361489284,3.65212875947003,NA,NA,NA,NA
"WH10D",0.28,900,5,89.46153802,0.621973246644446,1173.15,0.000852405915697055,4.98315160628799,3.53356675086517,10.42,1.09,60.3104203018091,NA
"WH10V",0.28,900,5,NA,NA,1173.15,NA,NA,NA,9.91,0.22,141.51022896944,NA
"WH10W",0.28,900,5,NA,NA,1173.15,NA,NA,NA,9.91,0.47,80.5205825060131,NA
"WH10X",0.28,900,5,NA,NA,1173.15,NA,NA,NA,9.89,0.49,63.3914569337801,NA
"WH10Y",0.28,900,5,NA,NA,1173.15,NA,NA,NA,9.9,0.41,106.764059362031,NA
"WH10Z",0.28,900,5,NA,NA,1173.15,NA,NA,NA,9.86,0.55,92.2449385125361,NA
"WH11A",0.2,900,5,90.70082352,0.82133744161499,1173.15,0.000852405915697055,5.26118856423859,4.08047672039528,9.8,0.93,61.0665012925218,0.027619274
"WH11B",0.2,900,5,90.0242277,1.38348731749978,1173.15,0.000852405915697055,5.78261715851646,4.60190531467316,9.89,0.78,77.6894573267391,0.032921273
"WH11C",0.2,900,5,92.14817488,0.347342828261837,1173.15,0.000852405915697055,4.40056679621742,3.21985495237412,NA,NA,NA,NA
"WH11D",0.2,900,5,91.69185312,0.948516965002036,1173.15,0.000852405915697055,5.40515420165276,4.22444235780945,10.01,1.54,46.3794075493922,NA
"WH11E",0.2,900,5,90.83669643,0.508749578959173,1173.15,0.000852405915697055,4.78221043545728,3.60149859161397,NA,NA,NA,NA
"WH12A",0.24,900,5,89.44365899,0.863019307280007,1173.15,0.000852405915697055,5.31069158941541,3.98593258582227,9.89,1.13,48.2940164678182,0.04742793
"WH12B",0.24,900,5,89.60609103,0.873136152659748,1173.15,0.000852405915697055,5.32234602949729,3.99758702590415,9.91,1.03,92.4657731255059,0.058049023
"WH12C",0.24,900,5,96.26242408,1.30985996855392,1173.15,0.000852405915697055,5.72793004254745,4.40317103895431,NA,NA,NA,NA
"WH12D",0.24,900,5,94.37215918,1.16094891986353,1173.15,0.000852405915697055,5.60724751035726,4.28248850676413,9.8,1,36.5119779772867,NA
"WH12W",0.28,900,5,NA,NA,1173.15,NA,NA,NA,9.78,0.76,31.038207848684,NA
"WH12X",0.24,900,5,NA,NA,1173.15,NA,NA,NA,10.01,0.31,96.0998772551162,NA
"WH12Y",0.24,900,5,NA,NA,1173.15,NA,NA,NA,10,0.53,72.5685750661567,NA
"WH12Z",0.24,900,5,NA,NA,1173.15,NA,NA,NA,10.08,0.59,81.3933115601189,NA
"WH13A",0.35,900,5,92.84697739,NA,1173.15,0.000852405915697055,NA,NA,NA,NA,NA,2.423590961
"WH13B",0.35,900,5,94.14006616,2.97549049325615,1173.15,0.000852405915697055,6.54841870237212,4.9135022617623,9.61,0.5,157.321441052902,6.082858306
"WH13C",0.35,900,5,94.18757708,3.26417992702943,1173.15,0.000852405915697055,6.64101836556682,5.00610192495701,9.56,0.29,135.858107982544,4.808238297
