Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,0.201,0.157,9.836,0,0.262,9.993,0,0.189,0.181,255,255
2,0.037,0.210,24.341,0,0.236,24.367,0,0.037,0.037,255,255
3,0.520,0.656,2.859,0,1.154,2.911,0,0.501,0.431,255,255
3,0.507,1.154,2.911,0,1.443,2.570,0,0.447,0.417,255,255
3,0.480,0.262,3.069,0,0.656,2.859,0,0.446,0.456,255,255
3,0.395,1.495,3.043,0,1.154,2.911,0,0.365,0.360,255,255
3,0.338,0.525,2.597,0,0.656,2.859,0,0.293,0.309,255,255
3,0.100,1.495,2.492,0,1.443,2.570,0,0.095,0.104,255,255
3,0.026,1.443,2.570,0,1.443,2.570,0,0.000,0.000,0,0
4,0.026,0.315,7.056,0,0.341,7.056,0,0.026,0.026,255,255
5,0.448,0.367,26.518,0,0.498,26.125,0,0.415,0.410,255,255
7,0.601,0.892,5.325,0,0.813,4.800,0,0.530,0.573,255,255
7,0.550,1.180,4.433,0,0.813,4.800,0,0.519,0.513,255,255
7,0.295,0.551,4.721,0,0.813,4.800,0,0.274,0.276,255,255
8,0.063,0.577,6.689,0,0.603,6.636,0,0.059,0.066,255,255
9,0.317,0.577,19.252,0,0.839,19.384,0,0.293,0.305,255,255
10,0.168,0.630,9.810,0,0.787,9.836,0,0.160,0.158,255,255
11,0.917,1.469,8.184,0,1.075,8.892,0,0.810,0.831,255,255
11,0.321,0.970,9.154,0,1.075,8.892,0,0.283,0.288,255,255
11,0.258,0.839,8.892,0,1.075,8.892,0,0.236,0.253,255,255
12,0.026,0.866,9.915,0,0.866,9.941,0,0.026,0.026,255,255
13,0.332,1.154,21.325,0,0.918,21.482,0,0.284,0.312,255,255
13,0.205,0.970,21.298,0,0.918,21.482,0,0.191,0.211,255,255
13,0.063,0.866,21.508,0,0.918,21.482,0,0.059,0.056,255,255
14,0.594,1.023,0.997,0,1.259,0.682,0,0.393,0.560,255,255
15,0.273,1.416,17.233,0,1.154,17.207,0,0.264,0.279,255,255
15,0.253,1.285,17.390,0,1.154,17.207,0,0.226,0.244,255,255
15,0.164,1.023,17.180,0,1.154,17.207,0,0.134,0.136,255,255
16,0.164,1.154,7.134,0,1.285,7.056,0,0.153,0.154,255,255
17,0.400,1.207,19.803,0,1.574,19.777,0,0.368,0.389,255,255
18,0.164,1.390,20.879,0,1.521,20.957,0,0.153,0.169,255,255
19,0.052,1.731,16.105,0,1.784,16.105,0,0.052,0.052,255,255
20,0.860,2.544,0.367,0,1.941,0.839,0,0.766,0.765,255,255
20,0.633,2.046,1.311,0,1.941,0.839,0,0.484,0.582,255,255
20,0.299,1.862,1.180,0,1.836,0.892,0,0.290,0.299,255,255
20,0.127,1.836,0.892,0,1.941,0.839,0,0.117,0.026,255,255
20,0.026,1.810,0.892,0,1.836,0.892,0,0.026,0.026,255,255
21,0.797,2.544,3.069,0,2.046,2.570,0,0.705,0.749,255,255
21,0.596,1.810,3.069,0,2.046,2.570,0,0.551,0.551,255,255
21,0.533,1.810,2.203,0,2.046,2.570,0,0.437,0.490,255,255
22,0.631,1.889,4.354,0,2.020,3.777,0,0.592,0.622,255,255
23,0.216,2.256,20.092,0,2.151,20.249,0,0.189,0.195,255,255
23,0.157,1.993,20.249,0,2.151,20.249,0,0.157,0.157,255,255
23,0.063,2.177,20.302,0,2.151,20.249,0,0.059,0.063,255,255
24,0.347,2.754,21.875,0,2.859,22.164,0,0.307,0.260,255,255
24,0.327,2.597,21.613,0,2.754,21.875,0,0.306,0.299,255,255
24,0.269,3.095,22.085,0,2.859,22.164,0,0.249,0.243,255,255
24,0.194,2.885,22.348,0,2.859,22.164,0,0.185,0.194,255,255
24,0.190,2.911,21.797,0,2.754,21.875,0,0.176,0.183,255,255
25,0.164,2.833,25.784,0,2.859,25.652,0,0.134,0.152,255,255
26,1.120,2.859,24.052,0,3.384,24.918,0,1.012,1.056,255,255
26,0.703,4.485,25.259,0,3.934,24.892,0,0.662,0.662,255,255
26,0.598,4.302,24.446,0,3.934,24.892,0,0.578,0.567,255,255
26,0.454,3.593,25.311,0,3.751,24.944,0,0.400,0.430,255,255
26,0.378,3.384,24.918,0,3.751,24.944,0,0.368,0.344,255,255
26,0.349,3.069,24.708,0,3.305,24.944,0,0.334,0.321,255,255
26,0.260,3.121,25.128,0,3.305,24.944,0,0.260,0.148,255,255
26,0.205,3.751,24.944,0,3.934,24.892,0,0.191,0.113,255,255
26,0.090,3.305,24.944,0,3.384,24.918,0,0.083,0.026,255,255
26,0.037,3.095,25.154,0,3.121,25.128,0,0.037,0.037,255,255
26,0.026,3.121,25.128,0,3.121,25.128,0,0.000,0.000,0,0
27,0.365,3.489,5.875,0,3.226,5.666,0,0.336,0.347,255,255
27,0.253,3.016,5.770,0,3.226,5.666,0,0.235,0.235,255,255
27,0.168,3.252,5.508,0,3.226,5.666,0,0.160,0.168,255,255
28,0.264,3.121,11.620,0,3.252,11.830,0,0.247,0.233,255,255
29,0.100,3.279,0.105,0,3.357,0.052,0,0.095,0.098,255,255
30,0.389,3.541,20.695,0,3.515,21.036,0,0.342,0.372,255,255
30,0.295,3.751,21.141,0,3.515,21.036,0,0.258,0.275,255,255
30,0.221,3.305,21.010,0,3.515,21.036,0,0.211,0.211,255,255
31,0.553,3.436,20.302,0,3.620,19.856,0,0.482,0.531,255,255
31,0.480,3.987,19.830,0,3.620,19.856,0,0.368,0.437,255,255
31,0.317,3.882,19.987,0,3.620,19.856,0,0.293,0.285,255,255
31,0.148,3.620,19.725,0,3.620,19.856,0,0.131,0.139,255,255
32,0.865,5.220,22.138,0,4.485,21.823,0,0.799,0.845,255,255
32,0.511,3.646,22.138,0,4.092,22.033,0,0.458,0.500,255,255
32,0.480,4.092,22.033,0,4.485,21.823,0,0.446,0.392,255,255
32,0.310,4.144,22.321,0,4.092,22.033,0,0.293,0.306,255,255
32,0.190,4.459,21.666,0,4.485,21.823,0,0.160,0.182,255,255
33,0.063,3.934,3.384,0,3.987,3.410,0,0.059,0.056,255,255
34,0.852,4.931,13.875,0,4.144,13.770,0,0.794,0.841,255,255
34,0.290,3.961,13.954,0,4.144,13.770,0,0.260,0.266,255,255
34,0.026,4.144,13.744,0,4.144,13.770,0,0.026,0.026,255,255
35,0.127,3.961,21.482,0,4.013,21.587,0,0.117,0.127,255,255
36,0.227,4.118,5.849,0,4.223,5.666,0,0.211,0.200,255,255
37,0.116,4.144,0.498,0,4.197,0.577,0,0.095,0.104,255,255
38,0.142,4.144,8.551,0,4.275,8.577,0,0.134,0.137,255,255
38,0.138,4.249,8.472,0,4.275,8.577,0,0.108,0.124,255,255
38,0.063,4.302,8.630,0,4.275,8.577,0,0.059,0.063,255,255
39,0.474,4.170,2.990,0,4.590,2.859,0,0.440,0.442,255,255
39,0.395,4.879,3.174,0,4.800,2.833,0,0.350,0.362,255,255
39,0.363,4.590,2.859,0,4.590,3.200,0,0.341,0.299,255,255
39,0.221,4.590,2.859,0,4.800,2.833,0,0.211,0.110,255,255
39,0.164,4.931,2.754,0,4.800,2.833,0,0.153,0.116,255,255
39,0.127,4.511,3.279,0,4.590,3.200,0,0.111,0.108,255,255
39,0.116,4.695,3.226,0,4.590,3.200,0,0.108,0.108,255,255
40,0.063,4.197,8.105,0,4.223,8.157,0,0.059,0.066,255,255
41,0.574,4.800,3.698,0,4.826,4.197,0,0.499,0.530,255,255
41,0.557,5.325,4.039,0,4.826,4.197,0,0.523,0.532,255,255
41,0.537,4.354,4.039,0,4.826,4.197,0,0.498,0.501,255,255
41,0.463,4.984,4.564,0,4.826,4.197,0,0.400,0.435,255,255
42,0.127,4.590,18.177,0,4.695,18.177,0,0.105,0.109,255,255
43,1.417,6.662,12.564,0,7.108,13.797,0,1.311,1.270,255,255
43,1.345,6.951,11.200,0,6.426,12.328,0,1.244,1.262,255,255
43,1.286,5.062,14.479,0,6.138,14.951,0,1.174,1.177,255,255
43,0.922,6.348,14.689,0,7.161,14.951,0,0.854,0.846,255,255
43,0.897,6.348,14.689,0,7.030,14.243,0,0.815,0.786,255,255
43,0.843,5.797,13.325,0,5.797,12.590,0,0.734,0.756,255,255
43,0.810,7.685,15.266,0,7.266,14.872,0,0.575,0.764,255,255
43,0.738,5.797,12.590,0,6.426,12.328,0,0.682,0.660,255,255
43,0.681,5.272,12.249,0,5.797,12.590,0,0.626,0.635,255,255
43,0.675,7.213,12.826,0,6.662,12.564,0,0.610,0.662,255,255
43,0.594,6.138,14.951,0,6.190,15.502,0,0.553,0.531,255,255
43,0.500,7.580,15.449,0,7.134,15.370,0,0.453,0.457,255,255
43,0.478,7.030,14.243,0,7.108,13.797,0,0.453,0.412,255,255
43,0.474,7.134,15.370,0,7.161,14.951,0,0.420,0.384,255,255
43,0.434,5.875,15.790,0,6.190,15.502,0,0.427,0.420,255,255
43,0.422,7.397,14.269,0,7.030,14.243,0,0.368,0.387,255,255
43,0.420,4.643,14.479,0,5.062,14.479,0,0.420,0.420,255,255
43,0.415,7.318,14.479,0,7.266,14.872,0,0.397,0.421,255,255
43,0.400,6.846,15.607,0,6.479,15.685,0,0.376,0.361,255,255
43,0.380,6.190,15.502,0,6.479,15.685,0,0.342,0.291,255,255
43,0.380,6.138,14.951,0,6.348,14.689,0,0.336,0.299,255,255
43,0.334,6.426,12.328,0,6.662,12.564,0,0.334,0.260,255,255
43,0.332,6.584,15.974,0,6.479,15.685,0,0.307,0.306,255,255
43,0.253,6.925,15.475,0,7.134,15.370,0,0.235,0.228,255,255
43,0.205,7.292,13.849,0,7.108,13.797,0,0.191,0.201,255,255
43,0.190,5.141,14.321,0,5.062,14.479,0,0.176,0.193,255,255
43,0.138,7.161,14.951,0,7.266,14.872,0,0.131,0.074,255,255
44,0.090,4.774,22.793,0,4.852,22.767,0,0.083,0.094,255,255
45,0.090,4.826,9.836,0,4.905,9.862,0,0.083,0.083,255,255
46,0.821,4.852,15.108,0,4.905,15.843,0,0.736,0.785,255,255
47,0.253,4.879,10.597,0,4.984,10.807,0,0.235,0.233,255,255
47,0.090,4.957,10.885,0,4.984,10.807,0,0.083,0.093,255,255
47,0.063,5.036,10.780,0,4.984,10.807,0,0.059,0.063,255,255
48,0.026,5.089,12.852,0,5.115,12.852,0,0.026,0.026,255,255
49,0.998,5.744,9.915,0,5.770,9.154,0,0.761,0.932,255,255
49,0.698,5.298,9.626,0,5.770,9.154,0,0.668,0.681,255,255
49,0.546,5.508,8.341,0,5.902,8.708,0,0.538,0.524,255,255
49,0.522,5.902,8.708,0,6.269,8.446,0,0.451,0.435,255,255
49,0.500,5.770,9.154,0,5.902,8.708,0,0.465,0.417,255,255
49,0.221,6.243,8.236,0,6.269,8.446,0,0.211,0.216,255,255
49,0.063,6.321,8.472,0,6.269,8.446,0,0.059,0.063,255,255
50,1.221,5.298,25.967,0,5.534,24.866,0,1.127,1.144,255,255
51,1.038,5.692,22.059,0,6.610,22.138,0,0.921,0.963,255,255
51,0.950,6.820,22.033,0,7.607,22.374,0,0.858,0.887,255,255
51,0.874,6.846,22.898,0,6.610,22.138,0,0.796,0.840,255,255
51,0.766,7.502,21.325,0,6.951,21.718,0,0.677,0.729,255,255
51,0.474,7.790,22.741,0,7.607,22.374,0,0.411,0.453,255,255
51,0.369,6.820,22.033,0,6.951,21.718,0,0.341,0.294,255,255
51,0.332,6.846,21.430,0,6.951,21.718,0,0.307,0.310,255,255
51,0.280,7.607,22.138,0,7.607,22.374,0,0.236,0.255,255,255
51,0.253,6.610,22.138,0,6.820,22.033,0,0.235,0.174,255,255
52,0.052,5.849,23.633,0,5.902,23.633,0,0.052,0.052,255,255
53,0.650,5.875,17.784,0,6.321,18.203,0,0.612,0.620,255,255
54,0.138,6.007,26.256,0,6.085,26.151,0,0.131,0.131,255,255
55,0.090,6.820,2.387,0,6.872,2.439,0,0.074,0.080,255,255
56,0.848,7.239,8.472,0,8.000,8.682,0,0.789,0.803,255,255
56,0.450,8.315,8.393,0,8.000,8.682,0,0.427,0.439,255,255
56,0.432,7.843,9.049,0,8.000,8.682,0,0.400,0.394,255,255
57,0.380,7.475,3.698,0,7.764,3.515,0,0.342,0.360,255,255
58,0.280,7.580,6.164,0,7.685,6.400,0,0.258,0.252,255,255
59,0.880,8.577,4.721,0,7.816,4.485,0,0.796,0.829,255,255
59,0.706,7.659,4.931,0,7.816,4.485,0,0.473,0.690,255,255
59,0.153,7.869,4.354,0,7.816,4.485,0,0.141,0.147,255,255
60,0.026,7.869,25.941,0,7.869,25.967,0,0.026,0.026,255,255
61,0.943,9.128,18.885,0,9.311,19.357,0,0.507,0.880,255,255
61,0.817,8.577,20.643,0,9.180,20.275,0,0.706,0.719,255,255
61,0.664,9.023,19.698,0,9.180,20.275,0,0.598,0.574,255,255
61,0.647,8.420,19.593,0,9.023,19.698,0,0.612,0.625,255,255
61,0.585,8.079,21.141,0,8.551,20.905,0,0.528,0.565,255,255
61,0.522,9.023,19.698,0,9.311,19.357,0,0.447,0.425,255,255
61,0.428,8.892,21.115,0,8.551,20.905,0,0.400,0.401,255,255
61,0.422,8.210,20.616,0,8.577,20.643,0,0.368,0.392,255,255
61,0.323,9.075,19.148,0,9.311,19.357,0,0.316,0.302,255,255
61,0.273,8.551,20.905,0,8.577,20.643,0,0.264,0.184,255,255
61,0.258,9.416,20.328,0,9.180,20.275,0,0.242,0.240,255,255
62,0.701,8.210,2.413,0,8.813,2.544,0,0.617,0.655,255,255
62,0.260,8.997,2.361,0,8.813,2.544,0,0.260,0.260,255,255
62,0.258,8.813,2.780,0,8.813,2.544,0,0.236,0.264,255,255
63,0.116,8.289,13.430,0,8.315,13.534,0,0.108,0.106,255,255
64,0.090,8.367,17.862,0,8.393,17.784,0,0.083,0.094,255,255
65,0.701,8.761,13.351,0,8.839,13.954,0,0.608,0.689,255,255
65,0.627,9.390,14.033,0,8.839,13.954,0,0.556,0.598,255,255
65,0.496,8.525,14.243,0,8.839,13.954,0,0.427,0.451,255,255
66,0.026,8.918,7.790,0,8.944,7.790,0,0.026,0.026,255,255
67,0.422,9.469,22.243,0,9.443,22.610,0,0.368,0.394,255,255
67,0.349,9.652,22.872,0,9.443,22.610,0,0.336,0.330,255,255
67,0.347,9.128,22.531,0,9.443,22.610,0,0.324,0.325,255,255
68,0.063,9.364,17.626,0,9.390,17.679,0,0.059,0.056,255,255
69,0.052,9.390,0.630,0,9.443,0.630,0,0.052,0.052,255,255
70,0.269,9.416,13.141,0,9.521,12.984,0,0.189,0.235,255,255
71,0.928,9.521,7.580,0,10.308,7.239,0,0.858,0.866,255,255
72,1.027,9.548,4.485,0,10.334,4.249,0,0.822,0.975,255,255
73,0.422,9.915,10.125,0,9.941,10.492,0,0.368,0.361,255,255
73,0.286,10.098,9.915,0,9.915,10.125,0,0.279,0.272,255,255
73,0.269,9.993,10.702,0,9.941,10.492,0,0.216,0.255,255,255
73,0.205,9.836,9.836,0,9.784,10.020,0,0.191,0.201,255,255
73,0.194,9.600,9.993,0,9.784,10.020,0,0.185,0.200,255,255
73,0.194,9.757,10.466,0,9.941,10.492,0,0.185,0.190,255,255
73,0.175,9.784,10.020,0,9.915,10.125,0,0.168,0.074,255,255
74,0.775,9.784,13.482,0,10.308,13.534,0,0.527,0.711,255,255
75,0.037,9.889,15.764,0,9.915,15.790,0,0.037,0.037,255,255
76,1.474,11.803,21.036,0,10.518,20.879,0,1.295,1.388,255,255
76,0.613,9.941,21.351,0,10.282,20.879,0,0.582,0.582,255,255
76,0.457,10.544,21.325,0,10.518,20.879,0,0.447,0.457,255,255
76,0.365,10.098,20.590,0,10.282,20.879,0,0.342,0.272,255,255
76,0.236,10.282,20.879,0,10.518,20.879,0,0.236,0.210,255,255
76,0.212,9.941,20.459,0,10.098,20.590,0,0.205,0.191,255,255
76,0.148,10.203,20.485,0,10.098,20.590,0,0.148,0.111,255,255
77,0.168,10.020,16.393,0,10.046,16.551,0,0.160,0.158,255,255
78,0.179,10.439,9.128,0,10.282,9.180,0,0.166,0.152,255,255
78,0.175,10.177,9.049,0,10.282,9.180,0,0.168,0.153,255,255
78,0.063,10.230,9.207,0,10.282,9.180,0,0.059,0.026,255,255
79,0.290,10.282,17.679,0,10.439,17.889,0,0.262,0.271,255,255
79,0.221,10.649,17.915,0,10.439,17.889,0,0.211,0.190,255,255
79,0.142,10.413,18.020,0,10.439,17.889,0,0.134,0.105,255,255
80,0.063,10.387,3.226,0,10.413,3.174,0,0.059,0.056,255,255
81,1.132,10.466,25.416,0,10.728,24.393,0,1.056,1.096,255,255
81,0.612,10.413,24.026,0,10.728,24.393,0,0.484,0.566,255,255
81,0.249,10.911,24.551,0,10.728,24.393,0,0.242,0.228,255,255
82,0.987,10.623,25.784,0,11.410,26.230,0,0.904,0.919,255,255
83,0.349,11.252,1.469,0,11.016,1.705,0,0.334,0.320,255,255
83,0.247,10.780,1.731,0,11.016,1.705,0,0.238,0.237,255,255
83,0.100,11.069,1.784,0,11.016,1.705,0,0.095,0.093,255,255
84,1.133,12.144,3.698,0,11.672,4.433,0,0.873,1.039,255,255
84,0.642,11.777,5.010,0,11.672,4.433,0,0.587,0.610,255,255
84,0.576,10.833,4.774,0,11.252,4.433,0,0.541,0.536,255,255
84,0.420,11.252,4.433,0,11.672,4.433,0,0.420,0.315,255,255
84,0.306,11.279,4.695,0,11.252,4.433,0,0.264,0.301,255,255
84,0.290,11.016,4.302,0,11.252,4.433,0,0.270,0.172,255,255
84,0.216,10.833,4.380,0,11.016,4.302,0,0.200,0.197,255,255
84,0.205,11.069,4.118,0,11.016,4.302,0,0.191,0.211,255,255
85,0.026,10.833,14.400,0,10.859,14.400,0,0.026,0.026,255,255
86,0.037,10.859,0.839,0,10.885,0.813,0,0.037,0.037,255,255
87,0.354,10.911,16.210,0,11.174,16.341,0,0.293,0.338,255,255
88,0.052,10.911,23.161,0,10.964,23.161,0,0.052,0.052,255,255
89,0.777,11.279,22.951,0,11.803,22.452,0,0.724,0.662,255,255
89,0.336,11.803,22.138,0,11.803,22.452,0,0.315,0.329,255,255
89,0.295,12.066,22.531,0,11.803,22.452,0,0.274,0.276,255,255
89,0.210,11.069,22.951,0,11.279,22.951,0,0.210,0.210,255,255
89,0.127,11.331,23.056,0,11.279,22.951,0,0.117,0.120,255,255
90,0.205,11.121,8.525,0,11.305,8.525,0,0.184,0.195,255,255
91,0.633,11.174,3.830,0,11.436,3.305,0,0.587,0.586,255,255
91,0.469,11.830,3.489,0,11.436,3.305,0,0.434,0.404,255,255
91,0.184,11.436,3.121,0,11.436,3.305,0,0.184,0.157,255,255
92,0.428,11.174,17.784,0,11.515,17.993,0,0.400,0.399,255,255
93,0.933,12.197,8.420,0,11.646,8.970,0,0.779,0.866,255,255
93,0.664,11.908,9.495,0,11.646,8.970,0,0.587,0.632,255,255
93,0.428,11.252,9.180,0,11.593,8.970,0,0.400,0.395,255,255
93,0.415,11.541,8.577,0,11.593,8.970,0,0.397,0.369,255,255
93,0.052,11.593,8.970,0,11.646,8.970,0,0.052,0.026,255,255
94,0.985,12.590,7.738,0,11.725,7.449,0,0.912,0.942,255,255
94,0.585,11.672,6.951,0,11.725,7.449,0,0.501,0.562,255,255
